nodeID,nodeLabel,latitude,longitude,country_name,country_ISO3,Logical_Degree,Type
1,Junction,59.236801498422636,24.685458499999783,Unknown,UNK,0,Junction
2,Junction,59.323356998430704,24.542754499999774,Unknown,UNK,0,Junction
3,Rapla,58.99361699839955,24.832982499999783,Estonia,EE,2,Station
4,Junction,58.86538299838712,25.011368999999775,Unknown,UNK,0,Junction
5,Junction,59.40156499843785,24.72545249999976,Unknown,UNK,0,Junction
6,Junction,59.3194219984303,24.267893499999786,Unknown,UNK,0,Junction
7,Tallinn,59.44031699844144,24.73636599999978,Estonia,EE,3,Station
8,Junction,59.1755994984169,24.73894549999977,Unknown,UNK,0,Junction
9,Junction,59.306865998429174,24.391096999999775,Unknown,UNK,0,Junction
10,Saue,59.32503999843088,24.548515999999776,Estonia,EE,2,Station
11,Junction,59.421568998439696,24.735381999999788,Unknown,UNK,0,Junction
12,Junction,59.419205998439466,24.74233149999978,Unknown,UNK,0,Junction
13,Junction,59.425554498440036,24.72748849999975,Unknown,UNK,0,Junction
14,Raasiku,59.3656744984346,25.174175999999758,Estonia,EE,2,Station
15,Junction,59.36472649843448,25.184922999999756,Unknown,UNK,0,Junction
16,Junction,59.000683998400284,24.829997999999758,Unknown,UNK,0,Junction
17,Junction,59.25121449842394,24.687182999999774,Unknown,UNK,0,Junction
18,Junction,59.168367998416194,24.745986999999786,Unknown,UNK,0,Junction
19,Kohila,59.17032699841637,24.744093999999752,Estonia,EE,2,Station
20,Junction,59.04098549840412,24.83826399999978,Unknown,UNK,0,Junction
21,Saku,59.30104849842855,24.676633499999777,Estonia,EE,4,Station
22,Junction,59.24553049842343,24.686353499999775,Unknown,UNK,0,Junction
23,Junction,59.420218998439566,24.855716999999768,Unknown,UNK,0,Junction
24,Junction,59.33883649843213,24.082217499999782,Unknown,UNK,0,Junction
25,Junction,59.3415139984323,24.06583299999977,Unknown,UNK,0,Junction
26,Klooga,59.320280998430334,24.259495999999785,Estonia,EE,2,Station
27,Junction,58.63659099836455,25.558590499999777,Unknown,UNK,0,Junction
28,Junction,59.310947498429535,24.472476499999757,Unknown,UNK,0,Junction
29,Klooga-aedlinn,59.324626498430774,24.21708149999977,Estonia,EE,2,Station
30,Junction,59.3062519984291,24.425333499999756,Unknown,UNK,0,Junction
31,Junction,59.31437149842984,24.317162999999773,Unknown,UNK,0,Junction
32,Junction,59.33658799843188,24.10311499999977,Unknown,UNK,0,Junction
33,Junction,59.32092149843044,24.25330299999979,Unknown,UNK,0,Junction
34,Keila,59.306187998429074,24.415045999999762,Estonia,EE,2,Station
35,Junction,59.42334749843986,24.788569499999774,Unknown,UNK,0,Junction
36,Junction,59.42335249843987,24.78489249999979,Unknown,UNK,0,Junction
37,Junction,58.98921399839915,24.838701499999782,Unknown,UNK,0,Junction
38,Junction,59.39246649843704,24.72704799999978,Unknown,UNK,0,Junction
39,Junction,59.40781849843843,24.74164549999977,Unknown,UNK,0,Junction
40,Junction,59.40420549843806,24.736418499999775,Unknown,UNK,0,Junction
41,Junction,58.98273549839848,24.852729999999777,Unknown,UNK,0,Junction
42,Junction,58.87357449838801,24.99654749999976,Unknown,UNK,0,Junction
43,Junction,59.37526849843544,24.72049299999977,Unknown,UNK,0,Junction
44,Junction,59.39018399843687,24.725247499999764,Unknown,UNK,0,Junction
45,Junction,59.40359549843806,24.727233999999783,Unknown,UNK,0,Junction
