nodeID,Betweenness,Closeness,Katz,Community
3,0.18620689655172415,0.15384615384615385,2.5587271155082063,1
7,0,0.19230769230769232,7.422009874341129,2
10,0.23908045977011494,0.15789473684210525,2.5681033063708982,3
14,0.5172413793103449,0.2158273381294964,3.9177008008417986,4
19,0.23908045977011494,0.1744186046511628,3.8052439775569633,1
21,0.28735632183908044,0.1986754966887417,8.20850161959402,2
26,0.12873563218390804,0.12605042016806722,2.0798154558440793,3
29,0.06666666666666667,0.11320754716981132,1.9336548147778618,3
34,0.18620689655172415,0.14084507042253522,2.2109472582643885,3
46,0.3310344827586207,0.2,8.20903525469501,2
47,0.28735632183908044,0.17751479289940827,3.8078258377818357,3
57,0.06666666666666667,0.1214574898785425,1.9609698733371035,1
58,0.12873563218390804,0.13636363636363635,2.1775409504403247,1
78,0.06666666666666667,0.136986301369863,3.196600339271684,5
108,0,0.12096774193548387,1.832827468516977,5
112,0.12873563218390804,0.13392857142857142,2.073739836578975,6
114,0.3310344827586207,0.19480519480519481,3.6032341084200246,4
120,0,0.10714285714285714,1.5033430454591823,6
139,0,0.12096774193548387,1.8328274685169768,5
141,0.5149425287356322,0.21428571428571427,2.967121275956191,4
144,0.5149425287356322,0.21428571428571427,8.231744902740262,2
172,0.23908045977011494,0.15463917525773196,3.401674257401,5
176,0.06666666666666667,0.136986301369863,3.1966003392716837,5
182,0.23908045977011494,0.17045454545454544,2.4911899509915663,6
184,0.28735632183908044,0.1935483870967742,3.53423468667107,4
187,0.5080459770114942,0.2097902097902098,3.632603164645054,4
188,0.06666666666666667,0.11952191235059761,1.9319566305251687,6
203,0,0.10204081632653061,1.503785482530489,3
205,0,0.10869565217391304,1.5109020215587834,1
207,0.18620689655172415,0.1507537688442211,2.189325694624158,6
209,0.28735632183908044,0.17341040462427745,2.8250264288057085,4
