nodeID,Betweenness,Closeness,Katz,Community
162,0.0032626427406199014,0.22445990479677774,1.015462434535625,10
164,0,0.22250453720508168,1.007766051105398,1
170,0,0.12220893141945774,1.0076217651959538,5
172,0.00805386863826553,0.2860475968268782,1.057211083819328,1
177,0.04782010683555641,0.1225754849030194,1.0113969911800924,5
179,0.0037633233463768216,0.3857772183763373,6.700545898288375,3
184,0.006514623250061308,0.12186878727634194,1.011411190127335,4
187,0,0.27838328792007266,1.0503688601227599,3
200,0.001610400780346083,0.38529226901319924,6.6964721992211445,3
202,0,0.3850502512562814,6.692506650365006,3
207,2.3990020151616927e-6,0.27901684114701863,1.0838634022875289,15
209,9.747056335675469e-5,0.223152530032763,1.0116614241423831,2
215,0.0032626427406199023,0.38529226901319924,6.696347785593824,3
216,0.001628655812515327,0.38529226901319924,6.696442147345062,3
226,0,0.27838328792007266,1.0503688601227599,3
227,0.001048582356358317,0.38529226901319924,6.6965668445418105,3
249,0,0.05303226922744182,1.0038036758275553,5
252,0,0.3850502512562814,6.692506650364988,3
265,0.00331101222930222,0.2827490774907749,1.0445826059936856,4
280,1.90143122683186e-5,0.2800365463682047,1.0959405342036916,16
287,0.0032626427406199023,0.22106022358456545,1.023112713243928,8
311,0.004700245755966605,0.15754304805962477,1.0190486339491485,1
312,0,0.3850502512562814,6.692506650365014,3
319,1.3327788973120516e-6,0.2788898999090082,1.1048472564319205,17
321,0,0.3850502512562814,6.692506650364997,3
333,0.007538641702829497,0.3857772183763373,6.700261925533779,3
335,7.566376197025847e-5,0.28591417910447764,1.0998265579722046,1
338,5.762809020653757e-4,0.22728958101594365,1.0358572547421951,1
350,0.001674904379379318,0.2892873997168476,1.1544563476270706,1
353,0.007851447454572556,0.3869949494949495,6.708995747851645,3
359,0,0.2872539831302718,1.053277369563849,10
369,0.0020876662109908716,0.28145087235996324,1.0623650531195943,10
374,2.1013480614286682e-4,0.22454212454212455,1.0193403818192375,10
385,0.002850083436959282,0.2857808857808858,1.0741497983747614,10
386,0.0029666769734901315,0.3857772183763373,6.704783642234537,3
397,4.455247146287672e-4,0.2277117384843982,1.0115220346136633,4
408,0.00644044458457662,0.2256164887743835,1.019247596852121,2
409,2.5199675665082066e-4,0.15811194222336858,1.0075790691486282,2
414,0.006293826212739945,0.3855345911949686,6.69636198547175,3
415,0.00307516517573134,0.27927107061503414,1.028973967457079,10
422,0,0.2826187183033656,1.0370448724425902,10
426,0.017552698077599717,0.3865069356872636,6.696362038651193,3
439,0,0.21955587392550144,1.0115507562342034,7
443,0.008041987866380919,0.3857772183763373,6.696361985050803,3
454,0,0.2811926605504587,1.088153636861587,18
475,4.886855956810855e-6,0.22445990479677774,1.019539762411209,10
480,0.048814139878657015,0.3892063492063492,6.7120935061717715,10
485,4.886855956810855e-6,0.22445990479677774,1.0195397624112086,10
497,0.003278991495093597,0.28145087235996324,1.0919300003562813,18
499,0,0.3850502512562814,6.692506650365015,3
511,0,0.3850502512562814,6.692506650365008,3
515,1.6976530510682508e-4,0.187061336588343,1.0231010786299055,2
517,0.006471946159718941,0.22487160674981657,1.0231961498116642,2
531,2.7988356843553083e-5,0.18093270365997638,1.0075941202385417,10
532,3.3319472432801285e-5,0.22145953757225434,1.0077034383838472,10
533,0.0010576979933756535,0.18260351504319333,1.007579372503676,2
534,1.8427432466974235e-4,0.2857808857808858,1.0412369931412135,2
543,0.0015458754343378343,0.2810637322329207,1.0289888531259077,2
544,0.0024752623543526525,0.22569955817378498,1.0154314506347921,10
546,0.0032951752388466725,0.1855326876513317,1.0076226260592238,2
552,0.0010633036974078906,0.21885041056765442,1.0076592616283362,10
554,0.009742613739351097,0.22218194998187749,1.0077321615641786,10
555,1.625990254720703e-4,0.13454784899034242,1.007578740009359,10
559,0.0016197706198665801,0.38529226901319924,6.696456757775926,3
563,6.437996814210714e-4,0.18896424167694204,1.0192525128740055,4
564,0.003332351500313629,0.2826187183033656,1.0487781946616523,4
578,0.01234044924949508,0.3865069356872636,6.708401864698799,3
579,0.00116946905642806,0.22066234701223902,1.0153551792857063,7
590,0.0016740972263474903,0.18309438470728792,1.011440542201793,10
629,3.554077059498804e-6,0.279143897996357,1.0583895891474946,8
637,7.108154118997608e-6,0.279143897996357,1.0542683273808995,7
642,0.003224969523789215,0.27990867579908674,1.062209172716375,18
653,0.009802275692465423,0.38626339004410837,6.708490551272494,3
673,1.0662231178496413e-6,0.2788898999090082,1.1049430501204462,19
677,0.001628655812515327,0.38529226901319924,6.696442147345056,3
683,0,0.28196872125114997,1.0330720096208064,4
687,0.0034896782601736972,0.38626339004410837,6.700830095241657,3
695,6.851153702819852e-4,0.2892873997168476,1.1084193596798033,2
709,7.0827678542869e-5,0.16268577494692144,1.023100509813492,4
710,0,0.2222625090645395,1.0116776374171372,4
719,0.0034896782601736972,0.38626339004410837,6.700830095241662,3
724,0.005752678613968319,0.2861811391223156,1.0534351542069367,1
746,0.0010109572195744192,0.38529226901319924,6.6966274542671504,3
757,2.420326477518686e-4,0.2841910060268892,1.078154731162741,4
779,0.017595481153041097,0.2857808857808858,1.0444916524288415,2
781,0.0034221333392877415,0.2880639097744361,1.1169781113313202,1
803,0.00258712577587921,0.28132170720514,1.1088375581133316,8
804,0,0.3850502512562814,6.692506650365015,3
815,0.008641642683481303,0.1392232568703157,1.011411462041522,4
821,0.01249701629720017,0.2320211960635882,1.0196433608625843,2
870,0,0.3850502512562814,6.69250665036501,3
880,0.0021457105590106215,0.27990867579908674,1.0622096412811715,18
885,0.0033687530960665327,0.28591417910447764,1.0489796565721803,4
907,0.007851447454572556,0.3869949494949495,6.708995747851645,3
947,0,0.3850502512562814,6.692506650364991,3
1007,0.007676113326562712,0.2880639097744361,1.0570532927108873,10
1011,0.021963513683357975,0.2841910060268892,1.048372414572253,10
1026,0.00735996513913189,0.28209848136217214,1.0368023152929309,2
1044,2.7028756037488405e-4,0.22307132459970888,1.011566400230187,10
