nodeID,nodeLabel,latitude,longitude,country_name,country_ISO3,Logical_Degree,Type
1,Junction,43.64944749478868,0.5972559999997884,Unknown,UNK,0,Junction
2,Auch,43.6473224947878,0.5970594999998066,Unknown,FR,10,Station
3,Junction,48.45637549647632,-4.245889000000199,Unknown,UNK,0,Junction
4,Junction,49.509744496771376,0.19587499999980112,Unknown,UNK,0,Junction
5,Junction,49.50513849677017,0.1920109999998102,Unknown,UNK,0,Junction
6,Junction,49.63013499680344,-1.6190015000001956,Unknown,UNK,0,Junction
7,Junction,47.328491996130715,-2.0253750000001958,Unknown,UNK,0,Junction
8,Junction,44.53271799514024,5.82056549999979,Unknown,UNK,0,Junction
9,Junction,48.55290549650447,-3.1631065000001897,Unknown,UNK,0,Junction
10,Junction,44.54580949514535,6.450001999999788,Unknown,UNK,0,Junction
11,Lisieux,49.13809649667037,0.23163999999979745,Unknown,FR,5,Station
12,Gap,44.56379649515232,6.0858244999998,Unknown,FR,227,Station
13,Brest,48.387891496456234,-4.4799260000002095,Unknown,FR,1,Station
14,Junction,49.08690099665612,0.588527999999798,Unknown,UNK,0,Junction
15,Junction,43.14158449457857,6.039801999999779,Unknown,UNK,0,Junction
16,La Garde,43.11859949456886,6.0098519999998,Unknown,FR,3,Station
17,Junction,43.313873994650464,5.393269999999802,Unknown,UNK,0,Junction
18,Junction,43.30862149464828,5.3965359999998,Unknown,UNK,0,Junction
19,Junction,48.078364496363946,7.349135999999786,Unknown,UNK,0,Junction
20,Junction,49.49998299676879,0.16323899999980926,Unknown,UNK,0,Junction
21,Cherbourg,49.632688496804086,-1.6206675000001929,Unknown,FR,2,Station
22,Saint-Nazaire,47.28676399611732,-2.2113255000001835,Unknown,FR,3,Station
23,Junction,47.76179949626718,7.2679019999997925,Unknown,UNK,0,Junction
24,Tergnier,49.66166749681175,3.2960749999998002,Unknown,FR,3,Station
25,Junction,43.15869499458567,-0.5229345000001859,Unknown,UNK,0,Junction
26,Junction,43.289078994640114,-0.37770550000018793,Unknown,UNK,0,Junction
27,Junction,45.75780849559754,5.873404999999792,Unknown,UNK,0,Junction
28,Sorgues-Châteauneuf-du-Pape,44.005184994932485,4.875879499999801,Unknown,FR,227,Station
