nodeID,nodeLabel,latitude,longitude,country_name,country_ISO3,Logical_Degree,Type
1,Caher,52.37574599744429,-7.9211410000002,Ireland,IE,2,Station
2,Castlerea,53.76567299770738,-8.488736500000181,Ireland,IE,2,Station
3,Junction,53.68595999769336,-8.393957500000194,Unknown,UNK,0,Junction
4,Portlaoise,53.03563799757404,-7.304005500000189,Ireland,IE,4,Station
5,Junction,53.49059149765842,-7.200371500000186,Unknown,UNK,0,Junction
6,Junction,53.764949997707234,-8.504102500000183,Unknown,UNK,0,Junction
7,Junction,53.32137249762752,-6.523191000000197,Unknown,UNK,0,Junction
8,Junction,53.73409599770186,-8.855721500000179,Unknown,UNK,0,Junction
9,Junction,53.72086999769952,-8.940629000000198,Unknown,UNK,0,Junction
10,Junction,53.3644834976354,-6.271600000000206,Unknown,UNK,0,Junction
11,Junction,53.38098049763841,-6.369456500000182,Unknown,UNK,0,Junction
12,Junction,53.382579997638736,-6.422534000000178,Unknown,UNK,0,Junction
13,Junction,53.37428699763715,-6.307794000000196,Unknown,UNK,0,Junction
14,Junction,53.382011497638615,-6.357189500000204,Unknown,UNK,0,Junction
15,Junction,53.39910999764174,-6.668931000000188,Unknown,UNK,0,Junction
16,Junction,53.36138249763482,-6.259494500000184,Unknown,UNK,0,Junction
17,Junction,53.356076497633886,-6.244662000000207,Unknown,UNK,0,Junction
18,Junction,53.38166799763858,-6.363793000000186,Unknown,UNK,0,Junction
19,Junction,53.37673199763765,-6.596159500000203,Unknown,UNK,0,Junction
20,Junction,53.37402699763712,-6.48492750000019,Unknown,UNK,0,Junction
21,Junction,53.28355899762051,-8.79614650000019,Unknown,UNK,0,Junction
22,Junction,53.28122849762005,-8.801937000000176,Unknown,UNK,0,Junction
23,Junction,53.27787099761946,-8.85117600000018,Unknown,UNK,0,Junction
24,Junction,53.280032997619834,-8.926095000000197,Unknown,UNK,0,Junction
25,Junction,53.272708997618494,-8.977236000000202,Unknown,UNK,0,Junction
26,Junction,53.27762999761936,-8.936955000000172,Unknown,UNK,0,Junction
27,Galway,53.274120497618775,-9.048094000000187,Ireland,IE,1,Station
28,Junction,53.42802449764701,-7.941126500000189,Unknown,UNK,0,Junction
29,Junction,53.426873497646824,-7.946971000000186,Unknown,UNK,0,Junction
30,Nenagh,52.85990799754036,-8.195360000000193,Ireland,IE,2,Station
31,Junction,53.34709899763221,-8.207145500000191,Unknown,UNK,0,Junction
32,Junction,53.396638997641304,-8.048591500000178,Unknown,UNK,0,Junction
33,Junction,53.41895599764533,-7.976029500000173,Unknown,UNK,0,Junction
34,Ballinasloe,53.33626199763018,-8.239186000000187,Ireland,IE,3,Station
35,Junction,53.622447497682074,-8.195392500000194,Unknown,UNK,0,Junction
36,Junction,53.53495499766637,-8.053246000000206,Unknown,UNK,0,Junction
37,Ballyhaunis,53.761104497706604,-8.759239500000168,Ireland,IE,3,Station
38,Junction,53.702914497696355,-8.418848000000196,Unknown,UNK,0,Junction
39,Junction,53.71976699769934,-8.985045000000186,Unknown,UNK,0,Junction
40,Junction,53.60368049767871,-8.127274500000192,Unknown,UNK,0,Junction
41,Roscommon,53.6290974976832,-8.211503000000189,Ireland,IE,3,Station
42,Junction,53.57141099767298,-8.082743000000196,Unknown,UNK,0,Junction
43,Junction,53.433425497647974,-7.953715500000178,Unknown,UNK,0,Junction
44,Junction,53.76650599770752,-8.525516500000169,Unknown,UNK,0,Junction
45,Junction,53.7200124976993,-8.998804000000167,Unknown,UNK,0,Junction
46,Junction,52.12310399739225,-8.66709500000019,Unknown,UNK,0,Junction
47,Rathmore,52.0863329973846,-9.216922000000183,Ireland,IE,2,Station
48,Millstreet,52.0774554973827,-9.071168500000187,Ireland,IE,2,Station
49,Killarney,52.06932899738099,-9.505965000000195,Ireland,IE,2,Station
50,Junction,52.04021399737491,-9.34694100000018,Unknown,UNK,0,Junction
51,Junction,52.03770099737438,-9.433974500000172,Unknown,UNK,0,Junction
52,Junction,52.059879497379036,-9.499521500000178,Unknown,UNK,0,Junction
53,Manulla Junction,53.82709749771818,-9.200520500000177,Ireland,IE,3,Station
54,Junction,52.084408997384166,-9.205417000000178,Unknown,UNK,0,Junction
55,Junction,52.08379649738409,-9.03339200000019,Unknown,UNK,0,Junction
56,Banteer,52.1295664973936,-8.893986000000178,Ireland,IE,3,Station
57,Junction,52.11716849739099,-8.696148000000196,Unknown,UNK,0,Junction
58,Junction,52.06643299738044,-9.305777500000179,Unknown,UNK,0,Junction
59,Tralee,52.27198799742308,-9.698882000000197,Ireland,IE,1,Station
60,Junction,53.14675049759497,-7.055405000000172,Unknown,UNK,0,Junction
61,Monasterevin,53.14443349759461,-7.068319500000204,Ireland,IE,3,Station
62,Junction,52.4194754974532,-8.470355000000183,Unknown,UNK,0,Junction
63,Junction,53.13926499759359,-7.112858000000192,Unknown,UNK,0,Junction
64,Junction,53.83886649772022,-9.19242450000018,Unknown,UNK,0,Junction
65,Junction,53.8946584977299,-9.160624500000177,Unknown,UNK,0,Junction
66,Junction,52.28890099742653,-8.678490500000182,Unknown,UNK,0,Junction
67,Ballina,54.11305249776727,-9.159260500000181,Ireland,IE,1,Station
68,Foxford,53.98232799774496,-9.136663500000193,Ireland,IE,2,Station
69,Junction,53.39036199764011,-6.156958500000197,Unknown,UNK,0,Junction
70,Junction,52.467249997462844,-8.302655500000176,Unknown,UNK,0,Junction
71,Junction,52.39936899744909,-8.546062500000208,Unknown,UNK,0,Junction
72,Junction,52.3919369974476,-8.557487000000174,Unknown,UNK,0,Junction
